Timestep  Iteration  resNorm(0)  resNorm(1)  
11  1  0.4941490907677578  0.0278643431036043  
11  2  0.0050348803834915  0.0451518072831853  
11  3  0.0001862463074771  0.0013175558051042  
11  4  0.0000190991920451  0.0000269819079793  
12  1  0.2258692671912109  0.0246833962874735  
12  2  0.0007451509921572  0.0274666228060889  
12  3  0.0000794669012570  0.0009725313331081  
13  1  0.3228785321577557  0.0181372857696329  
13  2  0.0004974994871895  0.0405935685589617  
13  3  0.0000411545561095  0.0013676378842785  
13  4  0.0000020902191583  0.0000221250188088  
14  1  0.2546769834140890  0.0222314289166678  
14  2  0.0005572829749119  0.0245557799475110  
14  3  0.0001215965238875  0.0015336945939462  
14  4  0.0000037920742975  0.0000913575023432  
15  1  0.1771402086399334  0.0213624350581794  
15  2  0.0002513792474110  0.0154984907962065  
15  3  0.0000442140169255  0.0004667927106555  
16  1  0.2783689730031900  0.0116886659919443  
16  2  0.0006457287792159  0.0110309739169411  
16  3  0.0000291948978071  0.0005678651972557  
17  1  0.1899305653286776  0.0203206660872213  
17  2  0.0000834526662159  0.0056029954490296  
17  3  0.0000264135524586  0.0001650378682109  
18  1  0.1243146186289581  0.0211800928460622  
18  2  0.0002709783508600  0.0043780102196009  
18  3  0.0000456231503937  0.0001818904688635  
19  1  0.1744551026890412  0.0118501405229251  
19  2  0.0001394042210738  0.0043395405923090  
19  3  0.0000408270341387  0.0004273920399323  
20  1  0.1396869184388409  0.0150515808589559  
20  2  0.0001572048935589  0.0050208885948878  
20  3  0.0000303378549321  0.0000749560419403  
21  1  0.1115437944222918  0.0225561994549000  
21  2  0.0002394114797723  0.0049640889687406  
21  3  0.0000551534270625  0.0001426761849136  
22  1  0.1508415677765963  0.0293187903549730  
22  2  0.0001802223201804  0.0046144721229791  
22  3  0.0000806073903047  0.0001802877745210  
23  1  0.0967002530516562  0.0216270144601803  
23  2  0.0003853248549609  0.0069072927187614  
23  3  0.0000939806419697  0.0000803202968166  
24  1  0.0879358180640495  0.0237335089490678  
24  2  0.0003106403316381  0.0095859030378756  
24  3  0.0001857960470786  0.0002751561158189  
25  1  0.1084244858890786  0.0167292220755087  
25  2  0.0001694040225680  0.0084383273349943  
25  3  0.0000725935419939  0.0004677590500774  
26  1  0.0690928689084888  0.0135430683337655  
26  2  0.0002092947694262  0.0084433684019493  
26  3  0.0002311492247916  0.0005458679573024  
27  1  0.0900378526800843  0.0088893822573298  
27  2  0.0000787682662534  0.0027345840487998  
27  3  0.0000181457603119  0.0004371645712121  
28  1  0.0812517549327940  0.0063484973992268  
28  2  0.0001277589506152  0.0085018016115672  
28  3  0.0000269626363201  0.0003110152507966  
29  1  0.0613206341160657  0.0097248802096043  
29  2  0.0001763875073526  0.0060208554906634  
29  3  0.0000464847656547  0.0004640693796782  
30  1  0.0765692117516096  0.0102903965657794  
30  2  0.0001241071157655  0.0066313480106039  
30  3  0.0000285446973262  0.0002692388402387  
31  1  0.0567464429719014  0.0158181949108780  
31  2  0.0002222686170918  0.0013506034343605  
31  3  0.0000224199944605  0.0000842698107936  
32  1  0.0684821742950611  0.0126716861984960  
32  2  0.0000798261521217  0.0033912324261493  
