Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
123  348  2  1  0.0438465879605007  0.4183203087556973  0  
124  350  2  1  0.0856359430099226  0.4904538852792032  0  
125  352  2  1  0.0470722089471392  0.4439908383901660  0  
126  355  3  1  0.0984024993075880  0.4533185119597868  0  
127  358  3  1  0.1249893849901604  0.4298736197306079  0  
128  360  2  1  0.0587578745303210  0.4252891142458453  0  
129  362  2  1  0.0433160742154176  0.5644497949546291  0  
130  364  2  1  0.0494941696157871  0.4932451562651343  0  
131  367  3  1  0.1119494526788958  0.1739750273036870  0  
132  369  2  1  0.0503039071386541  0.2758685313728790  0  
133  372  3  1  0.1342804964491041  0.3779139554099096  0  
134  374  2  1  0.0363408751893384  0.6071147052810011  0  
135  377  3  1  0.1109413083776480  0.7874994009933777  0  
136  379  2  1  0.0402437614754815  0.6342721358414979  0  
137  381  2  1  0.0351860675479966  0.6073654527708200  0  
138  383  2  1  0.0760942322108867  0.4613339710985858  0  
139  385  2  1  0.0649308769385400  0.4059457100508058  0  
140  387  2  1  0.0625079269104236  0.3500187251092154  0  
141  389  2  1  0.0572263426685649  0.4479455576471317  0  
142  391  2  1  0.0283503121169464  0.6603267369946524  0  
143  393  2  1  0.0742414034848232  0.3658284649691457  0  
144  395  2  1  0.0389979295206714  0.9682411278118542  0  
145  398  3  1  0.1002460501774970  0.5173630498248586  0  
146  400  2  1  0.0928744740099459  0.4725111798998695  0  
147  402  2  1  0.0395102887194044  0.3743392861778613  0  
148  404  2  1  0.0650240978215470  0.4041119272254040  0  
149  406  2  1  0.0516002454874011  0.7231348826096666  0  
150  408  2  1  0.0572756380068205  0.5337674390017031  0  
151  410  2  1  0.0846834562000831  0.5241493290563594  0  
152  412  2  1  0.0466980793530659  0.6356073939132243  0  
153  415  3  1  0.1028936729835660  0.4863146659270034  0  
154  418  3  1  0.1617695487631843  0.6728541243144649  0  
155  420  2  1  0.0401625218808574  0.6989943517424242  0  
156  422  2  1  0.0629490908543013  0.6121913274638964  0  
157  425  3  1  0.1861362140627134  0.8211162645117739  0  
158  428  3  1  0.1080611602031660  0.4591917362818404  0  
159  430  2  1  0.0484865061105706  0.5435576970383952  0  
160  432  2  1  0.0694842144554195  0.6012198835099712  0  
161  434  2  1  0.0433058540563596  0.6250930187097588  0  
162  437  3  1  0.1358198535487683  0.4194219355409229  0  
163  439  2  1  0.0405640612662212  0.6793711939746895  0  
164  441  2  1  0.0382968018901131  0.6845249747590596  0  
165  444  3  1  0.1247967306201429  0.6722448057125234  0  
166  446  2  1  0.0444838423667358  0.6790620168815278  0  
167  448  2  1  0.0647075245472753  0.3716008036271723  0  
168  450  2  1  0.0812402308963252  0.4988384902442119  0  
169  452  2  1  0.0545380271986799  0.6537653184920293  0  
170  454  2  1  0.0556142399460690  0.7755008731719241  0  
171  457  3  1  0.1719077396930634  0.6948027775955690  0  
172  459  2  1  0.0516659096098041  0.5068019464247320  0  
173  461  2  1  0.0740937854566616  0.7261123904450929  0  
174  463  2  1  0.0593351522793293  0.5227855440198416  0  
175  465  2  1  0.0711854782373099  0.4411389153743159  0  
176  467  2  1  0.1029895806424903  0.3360157255267009  0  
177  469  2  1  0.0485274922532042  0.8506863509244581  0  
178  471  2  1  0.0575567987053262  0.7179589422071629  0  
